Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
NVIDIA GRID K140Q,GPU,2013-06-28,28.0,130.0,118.0,118,1270.0,850.0,TSMC,NVIDIA
NVIDIA GRID K160Q,GPU,2013-06-28,28.0,130.0,118.0,118,1270.0,850.0,TSMC,NVIDIA
NVIDIA GRID K180Q,GPU,2013-06-28,28.0,130.0,118.0,118,1270.0,850.0,TSMC,NVIDIA
NVIDIA GRID K200,GPU,2013-06-28,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA GRID K240Q,GPU,2013-06-28,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA GRID K260Q,GPU,2013-06-28,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA GRID K280Q,GPU,2013-06-28,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA GRID K340,GPU,2013-07-23,28.0,225.0,118.0,118,1270.0,954.0,TSMC,NVIDIA
NVIDIA GRID K520,GPU,2013-07-23,28.0,225.0,294.0,294,3540.0,745.0,TSMC,NVIDIA
NVIDIA GeForce 705M,GPU,2013-09-27,28.0,15.0,116.0,116,585.0,738.0,TSMC,NVIDIA
NVIDIA GeForce 710M,GPU,2013-07-24,28.0,15.0,87.0,87,1020.0,719.0,TSMC,NVIDIA
NVIDIA GeForce 820M,GPU,2013-11-27,28.0,15.0,116.0,116,585.0,625.0,TSMC,NVIDIA
NVIDIA GeForce GT 635 OEM,GPU,2013-10-01,28.0,35.0,87.0,87,1020.0,967.0,TSMC,NVIDIA
NVIDIA GeForce GT 720M,GPU,2013-12-25,28.0,33.0,87.0,87,1020.0,719.0,TSMC,NVIDIA
NVIDIA GeForce GT 740A,GPU,2013-08-26,28.0,33.0,87.0,87,1020.0,980.0,TSMC,NVIDIA
NVIDIA GeForce GT 745A,GPU,2013-08-26,28.0,33.0,118.0,118,1270.0,837.0,TSMC,NVIDIA
NVIDIA GeForce GT 750M Mac Edition,GPU,2013-11-08,28.0,50.0,118.0,118,1270.0,926.0,TSMC,NVIDIA
NVIDIA GeForce GT 755M Mac Edition,GPU,2013-11-08,28.0,50.0,118.0,118,1270.0,1085.0,TSMC,NVIDIA
NVIDIA GeForce GTX 650,GPU,2013-11-27,28.0,65.0,221.0,221,2540.0,1058.0,TSMC,NVIDIA
NVIDIA GeForce GTX 760,GPU,2013-06-25,28.0,170.0,294.0,294,3540.0,980.0,TSMC,NVIDIA
NVIDIA GeForce GTX 760 OEM,GPU,2013-06-27,28.0,130.0,294.0,294,3540.0,823.0,TSMC,NVIDIA
NVIDIA GeForce GTX 760 OEM Rebrand,GPU,2013-08-25,28.0,130.0,294.0,294,3540.0,823.0,TSMC,NVIDIA
NVIDIA GeForce GTX 760 Ti OEM,GPU,2013-09-27,28.0,170.0,294.0,294,3540.0,915.0,TSMC,NVIDIA
NVIDIA GeForce GTX 760 Ti OEM Rebrand,GPU,2013-08-25,28.0,170.0,294.0,294,3540.0,915.0,TSMC,NVIDIA
